,imp_model,crew_model,imp_out_tokens,crew_out_tokens,rounds,result,imp_pretend_count
95,claude-3-5-sonnet,claude-3-5-sonnet,4757,14893,7,crew,1
96,claude-3-5-sonnet,claude-3-5-sonnet,82581,228826,32,crew,14
97,claude-3-5-sonnet,claude-3-5-sonnet,51389,136032,26,crew,13
98,claude-3-5-sonnet,claude-3-5-sonnet,12062,34691,13,crew,5
99,claude-3-5-sonnet,claude-3-5-sonnet,16807,38236,15,crew,3
100,claude-3-5-sonnet,gemini-flash-1-5,72498,128174,30,imp,12
101,claude-3-5-sonnet,gemini-flash-1-5,7017,12133,9,imp,1
102,claude-3-5-sonnet,gemini-flash-1-5,5707,11411,8,crew,1
103,claude-3-5-sonnet,gemini-flash-1-5,18671,28909,15,crew,1
104,claude-3-5-sonnet,gemini-flash-1-5,8936,12461,10,imp,2
105,claude-3-5-sonnet,gemini-flash-1-5,11980,16664,12,imp,3
106,claude-3-5-sonnet,gemini-flash-1-5,146651,249908,40,lim,31
107,claude-3-5-sonnet,gemini-flash-1-5,5402,10800,8,crew,1
108,claude-3-5-sonnet,gemini-flash-1-5,10595,13770,11,imp,3
109,claude-3-5-sonnet,gemini-flash-1-5,7808,10907,9,imp,2
110,claude-3-5-sonnet,gemini-pro-1-5,6430,7698,9,crew,3
111,claude-3-5-sonnet,gemini-pro-1-5,135878,103883,40,lim,25
112,claude-3-5-sonnet,gemini-pro-1-5,27133,17989,18,imp,7
113,claude-3-5-sonnet,gemini-pro-1-5,27786,14762,18,imp,4
114,claude-3-5-sonnet,gemini-pro-1-5,50659,42624,25,imp,11
115,claude-3-5-sonnet,gemini-pro-1-5,135185,127538,40,lim,20
116,claude-3-5-sonnet,gemini-pro-1-5,4762,6929,7,crew,1
117,claude-3-5-sonnet,gemini-pro-1-5,4572,5799,7,crew,1
118,claude-3-5-sonnet,gemini-pro-1-5,5669,7409,8,crew,1
119,claude-3-5-sonnet,gemini-pro-1-5,15831,19036,14,imp,1
120,claude-3-5-sonnet,gpt-4o-mini,93104,263014,33,crew,20
121,claude-3-5-sonnet,gpt-4o-mini,6235,13162,9,crew,2
122,claude-3-5-sonnet,gpt-4o-mini,4793,9656,7,crew,1
123,claude-3-5-sonnet,gpt-4o-mini,9720,15256,10,imp,2
124,claude-3-5-sonnet,gpt-4o-mini,28327,68550,20,crew,9
125,claude-3-5-sonnet,gpt-4o-mini,31200,87894,21,imp,12
126,claude-3-5-sonnet,gpt-4o-mini,9429,15637,10,imp,2
127,claude-3-5-sonnet,gpt-4o-mini,28138,80019,20,crew,9
128,claude-3-5-sonnet,gpt-4o-mini,10491,17698,11,imp,3
129,claude-3-5-sonnet,gpt-4o-mini,7030,13811,9,crew,2
130,claude-3-5-sonnet,gpt-4o,8634,14483,10,imp,2
131,claude-3-5-sonnet,gpt-4o,8058,17493,10,crew,3
132,claude-3-5-sonnet,gpt-4o,54365,115286,25,imp,14
133,claude-3-5-sonnet,gpt-4o,28770,39806,19,imp,9
134,claude-3-5-sonnet,gpt-4o,27204,60020,19,crew,8
135,claude-3-5-sonnet,gpt-4o,49312,133824,22,crew,16
136,claude-3-5-sonnet,gpt-4o,14080,31190,14,crew,5
137,claude-3-5-sonnet,gpt-4o,64362,110109,28,crew,15
138,claude-3-5-sonnet,gpt-4o,17529,30679,15,crew,1
139,claude-3-5-sonnet,gpt-4o,15800,23095,15,crew,4
140,claude-3-5-sonnet,llama-3-1-405b-instruct,5660,15765,8,crew,1
141,claude-3-5-sonnet,llama-3-1-405b-instruct,4618,13286,7,crew,1
142,claude-3-5-sonnet,llama-3-1-405b-instruct,16414,44249,15,crew,6
143,claude-3-5-sonnet,llama-3-1-405b-instruct,10505,30599,12,crew,2
144,claude-3-5-sonnet,llama-3-1-405b-instruct,8688,22572,10,crew,3
145,claude-3-5-sonnet,llama-3-1-405b-instruct,72324,289115,30,imp,16
146,claude-3-5-sonnet,llama-3-1-405b-instruct,15588,76658,15,crew,6
147,claude-3-5-sonnet,llama-3-1-405b-instruct,5443,14426,8,crew,1
148,claude-3-5-sonnet,llama-3-1-405b-instruct,24270,91805,19,crew,6
149,claude-3-5-sonnet,llama-3-1-405b-instruct,6720,18612,9,crew,2
150,claude-3-5-sonnet,llama-3-1-8b-instruct,5040,13953,7,crew,1
151,claude-3-5-sonnet,llama-3-1-8b-instruct,8311,24272,10,crew,2
152,claude-3-5-sonnet,llama-3-1-8b-instruct,4864,16119,7,crew,1
153,claude-3-5-sonnet,llama-3-1-8b-instruct,73943,391492,31,crew,17
154,claude-3-5-sonnet,llama-3-1-8b-instruct,36883,103406,19,imp,4
155,claude-3-5-sonnet,llama-3-1-8b-instruct,5268,18093,8,crew,1
156,claude-3-5-sonnet,llama-3-1-8b-instruct,10581,25700,12,crew,3
157,claude-3-5-sonnet,llama-3-1-8b-instruct,15537,46759,14,imp,3
158,claude-3-5-sonnet,llama-3-1-8b-instruct,12747,30595,12,imp,2
159,claude-3-5-sonnet,llama-3-1-8b-instruct,14414,29908,13,imp,2
160,gemini-flash-1-5,claude-3-5-haiku,4952,13528,9,crew,1
161,gemini-flash-1-5,claude-3-5-haiku,3728,14795,7,crew,1
162,gemini-flash-1-5,claude-3-5-haiku,3667,13730,7,crew,1
163,gemini-flash-1-5,claude-3-5-haiku,2387,9471,7,crew,1
164,gemini-flash-1-5,claude-3-5-haiku,4169,15201,8,crew,1
165,gemini-flash-1-5,claude-3-5-haiku,4762,17730,9,imp,1
166,gemini-flash-1-5,claude-3-5-haiku,8876,22030,9,imp,1
167,gemini-flash-1-5,claude-3-5-haiku,17905,74478,18,imp,2
168,gemini-flash-1-5,claude-3-5-haiku,5047,13991,9,crew,1
169,gemini-flash-1-5,claude-3-5-haiku,5618,16982,10,crew,1
170,gemini-flash-1-5,claude-3-5-sonnet,4818,14391,10,imp,1
171,gemini-flash-1-5,claude-3-5-sonnet,34894,166108,27,crew,1
172,gemini-flash-1-5,claude-3-5-sonnet,3221,12177,6,crew,1
173,gemini-flash-1-5,claude-3-5-sonnet,3445,14861,7,crew,1
174,gemini-flash-1-5,claude-3-5-sonnet,3289,12507,6,crew,1
175,gemini-flash-1-5,claude-3-5-sonnet,4518,11280,9,crew,1
176,gemini-flash-1-5,claude-3-5-sonnet,81625,189798,35,crew,3
177,gemini-flash-1-5,claude-3-5-sonnet,5151,17554,9,imp,0
178,gemini-flash-1-5,claude-3-5-sonnet,2976,11005,6,crew,1
179,gemini-flash-1-5,claude-3-5-sonnet,2952,11987,6,crew,1
180,gemini-flash-1-5,gemini-flash-1-5,3820,10624,7,crew,1
181,gemini-flash-1-5,gemini-flash-1-5,52766,125833,27,imp,2
182,gemini-flash-1-5,gemini-flash-1-5,13865,24423,13,crew,1
183,gemini-flash-1-5,gemini-flash-1-5,4343,7141,9,crew,1
184,gemini-flash-1-5,gemini-flash-1-5,7287,14072,11,imp,1
185,gemini-flash-1-5,gemini-flash-1-5,30887,82140,20,imp,0
186,gemini-flash-1-5,gemini-flash-1-5,4358,10191,7,crew,1
187,gemini-flash-1-5,gemini-flash-1-5,4341,11507,8,crew,1
188,gemini-flash-1-5,gemini-flash-1-5,3734,10204,7,crew,1
189,gemini-flash-1-5,gemini-flash-1-5,4915,9918,9,crew,1
190,gemini-flash-1-5,gemini-pro-1-5,3120,5883,7,crew,1
191,gemini-flash-1-5,gemini-pro-1-5,3975,5368,7,crew,1
192,gemini-flash-1-5,gemini-pro-1-5,2926,3745,7,crew,1
193,gemini-flash-1-5,gemini-pro-1-5,3470,6039,8,imp,1
194,gemini-flash-1-5,gemini-pro-1-5,5414,4808,8,crew,1
195,gemini-flash-1-5,gemini-pro-1-5,4526,5057,8,crew,1
196,gemini-flash-1-5,gemini-pro-1-5,3684,4778,8,crew,0
197,gemini-flash-1-5,gemini-pro-1-5,3483,5192,7,crew,1
198,gemini-flash-1-5,gemini-pro-1-5,3855,5415,7,crew,1
199,gemini-flash-1-5,gemini-pro-1-5,3785,5411,7,crew,1
200,gemini-flash-1-5,gpt-4o-mini,3357,9922,7,crew,1
201,gemini-flash-1-5,gpt-4o-mini,3931,10466,7,crew,1
202,gemini-flash-1-5,gpt-4o-mini,5501,10213,9,crew,0
203,gemini-flash-1-5,gpt-4o-mini,5221,10622,11,imp,1
204,gemini-flash-1-5,gpt-4o-mini,4352,8457,9,imp,1
205,gemini-flash-1-5,gpt-4o-mini,4339,7941,9,crew,1
206,gemini-flash-1-5,gpt-4o-mini,11751,20701,11,imp,1
207,gemini-flash-1-5,gpt-4o-mini,3423,9871,7,crew,1
208,gemini-flash-1-5,gpt-4o-mini,3766,9058,7,crew,1
209,gemini-flash-1-5,gpt-4o-mini,4261,10156,7,imp,1
210,gemini-flash-1-5,gpt-4o,30630,64853,22,crew,1
211,gemini-flash-1-5,gpt-4o,5867,10841,10,crew,1
212,gemini-flash-1-5,gpt-4o,27696,90457,23,imp,1
213,gemini-flash-1-5,gpt-4o,3560,8699,8,crew,1
214,gemini-flash-1-5,gpt-4o,3658,8626,7,crew,1
215,gemini-flash-1-5,gpt-4o,3355,9039,7,imp,1
216,gemini-flash-1-5,gpt-4o,4250,9563,7,imp,1
217,gemini-flash-1-5,gpt-4o,25908,46323,19,imp,1
218,gemini-flash-1-5,gpt-4o,4144,8445,8,crew,1
219,gemini-flash-1-5,gpt-4o,4010,9711,7,imp,1
220,gemini-flash-1-5,llama-3-1-405b-instruct,4004,15864,8,crew,1
221,gemini-flash-1-5,llama-3-1-405b-instruct,11971,36461,13,crew,2
222,gemini-flash-1-5,llama-3-1-405b-instruct,3181,13209,6,crew,1
223,gemini-flash-1-5,llama-3-1-405b-instruct,3834,14993,7,imp,1
224,gemini-flash-1-5,llama-3-1-405b-instruct,4650,16581,8,crew,1
225,gemini-flash-1-5,llama-3-1-405b-instruct,3324,11775,6,crew,1
226,gemini-flash-1-5,llama-3-1-405b-instruct,4308,13612,7,imp,1
227,gemini-flash-1-5,llama-3-1-405b-instruct,4846,14797,7,imp,1
228,gemini-flash-1-5,llama-3-1-405b-instruct,54533,128189,29,imp,8
229,gemini-flash-1-5,llama-3-1-405b-instruct,5493,13754,9,imp,1
230,gemini-flash-1-5,llama-3-1-8b-instruct,5371,19503,9,imp,1
231,gemini-flash-1-5,llama-3-1-8b-instruct,121260,342303,40,lim,1
232,gemini-flash-1-5,llama-3-1-8b-instruct,5962,15471,9,imp,1
233,gemini-flash-1-5,llama-3-1-8b-instruct,5619,15066,9,crew,1
234,gemini-flash-1-5,llama-3-1-8b-instruct,4676,14866,9,crew,1
235,gemini-flash-1-5,llama-3-1-8b-instruct,2525,8100,5,imp,1
236,gemini-flash-1-5,llama-3-1-8b-instruct,5189,15829,9,imp,1
237,gemini-flash-1-5,llama-3-1-8b-instruct,5877,15626,10,imp,2
238,gemini-flash-1-5,llama-3-1-8b-instruct,3449,18866,7,crew,1
239,gemini-flash-1-5,llama-3-1-8b-instruct,12822,29409,11,imp,1
240,gemini-pro-1-5,claude-3-5-haiku,2245,13385,7,crew,1
241,gemini-pro-1-5,claude-3-5-haiku,2704,19485,9,imp,1
242,gemini-pro-1-5,claude-3-5-haiku,2497,12834,7,crew,1
243,gemini-pro-1-5,claude-3-5-haiku,3103,12846,9,crew,1
244,gemini-pro-1-5,claude-3-5-haiku,3029,13072,9,crew,1
245,gemini-pro-1-5,claude-3-5-haiku,54804,508312,40,lim,3
246,gemini-pro-1-5,claude-3-5-haiku,2540,14410,7,imp,1
247,gemini-pro-1-5,claude-3-5-haiku,1991,13939,7,crew,0
248,gemini-pro-1-5,claude-3-5-haiku,1883,13650,7,crew,1
249,gemini-pro-1-5,claude-3-5-haiku,2500,12986,7,crew,1
250,gemini-pro-1-5,claude-3-5-sonnet,2010,12020,6,crew,1
251,gemini-pro-1-5,claude-3-5-sonnet,2390,12096,6,crew,1
252,gemini-pro-1-5,claude-3-5-sonnet,2239,11811,6,crew,1
253,gemini-pro-1-5,claude-3-5-sonnet,1445,12796,7,crew,1
254,gemini-pro-1-5,claude-3-5-sonnet,10639,61446,24,imp,1
255,gemini-pro-1-5,claude-3-5-sonnet,2414,15760,8,crew,1
256,gemini-pro-1-5,claude-3-5-sonnet,2263,14650,7,imp,1
257,gemini-pro-1-5,claude-3-5-sonnet,2798,15596,8,crew,1
258,gemini-pro-1-5,claude-3-5-sonnet,1824,12293,6,crew,1
259,gemini-pro-1-5,claude-3-5-sonnet,20846,194554,27,crew,9
260,gemini-pro-1-5,gemini-flash-1-5,2503,9129,7,crew,1
261,gemini-pro-1-5,gemini-flash-1-5,2692,8980,7,crew,1
262,gemini-pro-1-5,gemini-flash-1-5,1881,8939,7,crew,1
263,gemini-pro-1-5,gemini-flash-1-5,44915,301109,40,lim,3
264,gemini-pro-1-5,gemini-flash-1-5,2276,9632,7,crew,1
265,gemini-pro-1-5,gemini-flash-1-5,11599,53806,22,crew,1
266,gemini-pro-1-5,gemini-flash-1-5,30695,84600,32,crew,1
267,gemini-pro-1-5,gemini-flash-1-5,8753,28936,14,imp,1
268,gemini-pro-1-5,gemini-flash-1-5,2785,8104,9,crew,0
269,gemini-pro-1-5,gemini-flash-1-5,8174,27122,12,imp,1
270,gemini-pro-1-5,gemini-pro-1-5,2674,5556,9,crew,1
271,gemini-pro-1-5,gemini-pro-1-5,2810,5053,7,crew,1
272,gemini-pro-1-5,gemini-pro-1-5,2336,7049,7,crew,1
273,gemini-pro-1-5,gemini-pro-1-5,2463,5816,7,crew,1
274,gemini-pro-1-5,gemini-pro-1-5,3130,5263,10,crew,1
275,gemini-pro-1-5,gemini-pro-1-5,2366,6418,7,crew,1
276,gemini-pro-1-5,gemini-pro-1-5,2589,6615,7,imp,1
277,gemini-pro-1-5,gemini-pro-1-5,2876,4065,8,crew,1
278,gemini-pro-1-5,gemini-pro-1-5,2531,5861,7,crew,1
279,gemini-pro-1-5,gemini-pro-1-5,2768,3944,9,crew,1
280,gemini-pro-1-5,gpt-4o-mini,2397,8854,7,crew,1
281,gemini-pro-1-5,gpt-4o-mini,2237,8294,7,crew,1
282,gemini-pro-1-5,gpt-4o-mini,1849,8519,6,crew,1
283,gemini-pro-1-5,gpt-4o-mini,2028,9022,6,crew,1
284,gemini-pro-1-5,gpt-4o-mini,2300,9133,7,crew,0
285,gemini-pro-1-5,gpt-4o-mini,2530,8708,8,crew,1
286,gemini-pro-1-5,gpt-4o-mini,2659,13087,9,crew,2
287,gemini-pro-1-5,gpt-4o-mini,2390,8788,7,crew,1
288,gemini-pro-1-5,gpt-4o-mini,2235,9467,7,crew,1
289,gemini-pro-1-5,gpt-4o-mini,3235,8842,9,crew,1
290,gemini-pro-1-5,gpt-4o,8046,24794,13,imp,1
291,gemini-pro-1-5,gpt-4o,16412,95466,21,imp,1
292,gemini-pro-1-5,gpt-4o,8484,26035,13,crew,1
293,gemini-pro-1-5,gpt-4o,20853,155118,24,crew,3
294,gemini-pro-1-5,gpt-4o,2113,8135,7,crew,1
295,gemini-pro-1-5,gpt-4o,2987,12687,9,imp,1
296,gemini-pro-1-5,gpt-4o,31494,134745,32,crew,5
297,gemini-pro-1-5,gpt-4o,44156,166028,40,lim,1
298,gemini-pro-1-5,gpt-4o,1839,8021,6,crew,1
299,gemini-pro-1-5,gpt-4o,2351,8142,7,crew,1
300,gemini-pro-1-5,llama-3-1-405b-instruct,2085,14016,7,imp,1
301,gemini-pro-1-5,llama-3-1-405b-instruct,1934,12608,7,imp,1
302,gemini-pro-1-5,llama-3-1-405b-instruct,1905,13600,7,crew,0
303,gemini-pro-1-5,llama-3-1-405b-instruct,12924,69542,21,imp,2
304,gemini-pro-1-5,llama-3-1-405b-instruct,1934,12825,7,crew,1
305,gemini-pro-1-5,llama-3-1-405b-instruct,2345,13838,7,imp,1
306,gemini-pro-1-5,llama-3-1-405b-instruct,1928,13578,7,imp,1
307,gemini-pro-1-5,llama-3-1-405b-instruct,2303,12467,7,crew,1
308,gemini-pro-1-5,llama-3-1-405b-instruct,1379,11214,6,crew,1
309,gemini-pro-1-5,llama-3-1-405b-instruct,2092,15985,8,crew,0
310,gemini-pro-1-5,llama-3-1-8b-instruct,3203,20703,9,imp,1
311,gemini-pro-1-5,llama-3-1-8b-instruct,2317,15994,7,crew,0
312,gemini-pro-1-5,llama-3-1-8b-instruct,2124,19341,7,crew,1
313,gemini-pro-1-5,llama-3-1-8b-instruct,2113,14334,7,crew,1
314,gemini-pro-1-5,llama-3-1-8b-instruct,3970,25320,11,imp,0
315,gemini-pro-1-5,llama-3-1-8b-instruct,6019,38085,14,imp,1
316,gemini-pro-1-5,llama-3-1-8b-instruct,1959,15757,7,crew,1
317,gemini-pro-1-5,llama-3-1-8b-instruct,1973,14851,7,crew,1
318,gemini-pro-1-5,llama-3-1-8b-instruct,2189,15631,7,imp,1
319,gemini-pro-1-5,llama-3-1-8b-instruct,1954,14664,7,imp,1
320,gpt-4o-mini,claude-3-5-haiku,17120,50879,16,crew,7
321,gpt-4o-mini,claude-3-5-haiku,9386,25394,9,imp,6
322,gpt-4o-mini,claude-3-5-haiku,3922,14516,7,crew,2
323,gpt-4o-mini,claude-3-5-haiku,3974,14021,7,crew,1
324,gpt-4o-mini,claude-3-5-haiku,6942,17008,10,crew,3
325,gpt-4o-mini,claude-3-5-haiku,3796,14452,7,crew,2
326,gpt-4o-mini,claude-3-5-haiku,4187,16281,7,crew,2
327,gpt-4o-mini,claude-3-5-haiku,6117,19612,9,crew,2
328,gpt-4o-mini,claude-3-5-haiku,10024,27863,12,imp,6
329,gpt-4o-mini,claude-3-5-haiku,5898,13422,9,crew,1
330,gpt-4o-mini,claude-3-5-sonnet,24155,59224,19,crew,10
331,gpt-4o-mini,claude-3-5-sonnet,36475,74622,22,imp,10
332,gpt-4o-mini,claude-3-5-sonnet,3489,12772,6,crew,1
333,gpt-4o-mini,claude-3-5-sonnet,19542,68262,17,crew,10
334,gpt-4o-mini,claude-3-5-sonnet,6736,17331,9,imp,3
335,gpt-4o-mini,claude-3-5-sonnet,5043,12995,7,imp,2
336,gpt-4o-mini,claude-3-5-sonnet,24235,57557,18,imp,9
337,gpt-4o-mini,claude-3-5-sonnet,4049,14762,7,crew,2
338,gpt-4o-mini,claude-3-5-sonnet,4051,14336,7,crew,2
339,gpt-4o-mini,claude-3-5-sonnet,4743,14678,8,crew,2
340,gpt-4o-mini,gemini-flash-1-5,5714,14370,9,crew,2
341,gpt-4o-mini,gemini-flash-1-5,33501,59297,21,imp,13
342,gpt-4o-mini,gemini-flash-1-5,15408,26038,12,imp,8
343,gpt-4o-mini,gemini-flash-1-5,4654,10232,8,crew,2
344,gpt-4o-mini,gemini-flash-1-5,43266,65600,22,crew,18
345,gpt-4o-mini,gemini-flash-1-5,5925,14166,9,crew,3
346,gpt-4o-mini,gemini-flash-1-5,4170,9845,7,crew,2
347,gpt-4o-mini,gemini-flash-1-5,4105,10702,7,crew,1
348,gpt-4o-mini,gemini-flash-1-5,6593,11380,9,imp,2
349,gpt-4o-mini,gemini-flash-1-5,9617,16283,11,imp,3
350,gpt-4o-mini,gemini-pro-1-5,12627,9837,18,imp,9
351,gpt-4o-mini,gemini-pro-1-5,5141,5075,9,crew,2
352,gpt-4o-mini,gemini-pro-1-5,3388,6625,7,crew,2
353,gpt-4o-mini,gemini-pro-1-5,4063,3951,8,crew,1
354,gpt-4o-mini,gemini-pro-1-5,3826,6647,8,crew,1
355,gpt-4o-mini,gemini-pro-1-5,4440,6647,9,crew,3
356,gpt-4o-mini,gemini-pro-1-5,4260,4550,7,crew,1
357,gpt-4o-mini,gemini-pro-1-5,5986,8244,8,imp,2
358,gpt-4o-mini,gemini-pro-1-5,4667,6742,8,crew,2
359,gpt-4o-mini,gemini-pro-1-5,4667,7779,8,crew,1
360,gpt-4o-mini,gpt-4o-mini,6376,14124,9,crew,2
361,gpt-4o-mini,gpt-4o-mini,4968,10570,8,crew,2
362,gpt-4o-mini,gpt-4o-mini,5519,10632,9,imp,2
363,gpt-4o-mini,gpt-4o-mini,6705,17621,10,crew,5
364,gpt-4o-mini,gpt-4o-mini,5065,6592,6,imp,1
365,gpt-4o-mini,gpt-4o-mini,10828,17554,12,imp,4
366,gpt-4o-mini,gpt-4o-mini,148193,281912,40,lim,37
367,gpt-4o-mini,gpt-4o-mini,9368,22516,12,crew,5
368,gpt-4o-mini,gpt-4o-mini,5674,9269,9,crew,1
369,gpt-4o-mini,gpt-4o-mini,5402,11780,9,crew,2
370,gpt-4o-mini,gpt-4o,5479,9908,7,imp,2
371,gpt-4o-mini,gpt-4o,13498,28055,13,imp,2
372,gpt-4o-mini,gpt-4o,3736,9450,7,crew,2
